City,Body_Type,Kilometers_driven,ownerNo,oem,model,modelYear,Displacement,variantName,Insurance Validity,No of Cylinder,Color,Values per Cylinder,Engine Type,Seats,Mileage_num,Torque_num,price_num,Power_num,Fuel Type_Diesel,Fuel Type_Electric,Fuel Type_LPG,Fuel Type_Petrol,Transmission_Manual,City_encode,Body_Type_encode,oem_encode,model_encode,variantName_encode,Insurance Validity_encode,Color_encode,Engine Type_encode
Bangalore,Sedan,60000,2,Hyundai,Hyundai Verna,0.8421052631578902,1591,VTVT 1.6 SX,Third Party insurance,4.0,Others,4.0,VTVT Petrol Engine,5,0.07169811320754717,151.0,-2.574592103105218,121.3,False,False,False,True,True,0,3,6,33,637,4,53,147
Bangalore,Hatchback,64235,2,Hyundai,Hyundai i20,0.8421052631578902,1197,Asta 1.2,Third Party,4.0,Red,4.0,Kappa VTVT Petrol Engine,5,0.08377358490566038,114.7,-2.779125284283441,81.83,False,False,False,True,True,0,0,6,36,321,3,67,102
Bangalore,Hatchback,83873,1,Maruti,Maruti Baleno,0.8684210526315752,1248,1.3 Alpha,Zero Dep,4.0,Silver,4.0,DDiS Diesel Engine,5,0.15011320754716984,190.0,-2.5800878378318473,74.0,True,False,False,False,True,0,0,11,43,83,5,69,62
Bangalore,Sedan,120000,2,Skoda,Skoda Rapid,0.7105263157894726,1598,1.6 TDI Ambition,Third Party insurance,4.0,Others,4.0,Turbocharged Diesel Engin,5,0.0981132075471698,250.0,-3.309943016327172,103.5,True,False,False,False,True,0,3,15,69,241,4,53,133
Bangalore,Sedan,93059,2,Hyundai,Hyundai Verna,0.8157894736842053,1591,1.6 SX VTVT,Comprehensive,4.0,Silver,4.0,VTVT Petrol Engine,5,0.0717735849056604,154.9,-2.6953186422469937,121.3,False,False,False,True,True,0,3,6,33,238,1,69,147
Bangalore,Hatchback,45681,1,Maruti,Maruti Baleno,0.8421052631578902,1197,1.2 Delta,Zero Dep,4.0,Blue,4.0,VVT Petrol Engine,5,0.10490566037735848,115.0,-2.7476833861991055,83.1,False,False,False,True,True,0,0,11,43,13,5,6,152
Bangalore,Hatchback,45938,2,Honda,Honda Jazz,0.8421052631578902,1199,1.2 V i VTEC,Comprehensive,4.0,Brown,4.0,i-VTEC Petrol Engine,5,0.08452830188679246,110.0,-2.841554647618433,88.7,False,False,False,True,True,0,0,5,24,63,1,9,167
Bangalore,Hatchback,40000,1,Maruti,Maruti Baleno,0.8684210526315752,1197,1.2 Delta,Third Party insurance,4.0,Others,4.0,VVT Petrol Engine,5,0.10490566037735848,115.0,-2.973339299293493,83.1,False,False,False,True,True,0,0,11,43,13,4,53,152
Bangalore,Hatchback,57423,2,Maruti,Maruti Swift,0.8684210526315752,1197,ZXI Plus,Third Party insurance,4.0,Blue,4.0,K Series Dual jet,5,0.11230188679245283,113.0,-2.7476833861991055,88.5,False,False,False,True,True,0,0,11,52,734,4,6,83
Bangalore,Hatchback,60942,1,Hyundai,Hyundai Grand i10,0.7894736842105203,1197,AT Asta,Third Party,4.0,Silver,4.0,Kappa VTVT Petrol Engine,5,0.08603773584905659,114.0,-2.9392226660586473,82.0,False,False,False,True,False,0,0,6,30,299,3,69,102
